contest_id,contest_name,contest_platform,contest_start_date,contest_end_date,contest_description,contest_link
15,Nafcillin,CodeChef,8/24/2021,9/7/2021,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,https://usgs.gov/vulputate/luctus/cum/sociis/natoque.jpg
16,"Citrus, Basil and Lime Antibacterial Foaming Hand Wash",CodeChef,8/31/2021,9/14/2021,Nullam sit amet turpis elementum ligula vehicula consequat.,http://pinterest.com/lectus/suspendisse/potenti/in/eleifend/quam/a.jsp
17,simvastatin,Leetcode,5/28/2021,6/11/2021,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",https://twitter.com/odio/justo.html
18,Acetaminophen,CodeForces,2/27/2022,3/13/2022,Curabitur gravida nisi at nibh.,http://t-online.de/sagittis/nam/congue.json
19,Hydromorphone Hydrochloride,CodeForces,9/2/2021,9/16/2021,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",http://woothemes.com/nulla/integer/pede/justo/lacinia.aspx
20,Terazosin,CodeChef,7/31/2021,8/14/2021,Nulla nisl.,https://bloglines.com/amet/erat/nulla/tempus/vivamus/in.png
21,Oxygen,CodeForces,2/26/2022,3/12/2022,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.",https://xing.com/dui/vel/sem/sed.js
22,Pramipexole Dihydrochloride,CodeChef,9/18/2021,10/2/2021,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,http://nhs.uk/adipiscing/lorem/vitae.html
23,Heparin Sodium in Dextrose,Kaggle,8/7/2021,8/21/2021,Maecenas pulvinar lobortis est.,http://biglobe.ne.jp/ultricies/eu.png
24,CitraNatal Rx,HackerRank,12/18/2021,1/1/2022,Quisque porta volutpat erat.,https://discovery.com/pede.html
25,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,Kaggle,4/7/2022,4/21/2022,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,http://google.com.au/erat/id/mauris/vulputate.png
26,Hydrocortisone Maximum Strength,HackerRank,2/8/2022,2/22/2022,Nulla nisl. Nunc nisl.,https://csmonitor.com/metus/aenean/fermentum.html
27,McD Anti-Microbial Handwash,HackerRank,10/8/2021,10/22/2021,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,https://latimes.com/turpis/integer/aliquet/massa/id/lobortis.json
28,Gout Control,HackerRank,6/25/2021,7/9/2021,Suspendisse potenti.,http://sun.com/nascetur/ridiculus.json
29,SODIUM IODIDE I 123,Leetcode,3/21/2022,4/4/2022,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",https://marketwatch.com/et/ultrices/posuere/cubilia.jsp
30,Indomethacin,CodeChef,5/17/2021,5/31/2021,Morbi non quam nec dui luctus rutrum.,https://un.org/mauris.png
31,Plan B One-Step,HackerRank,7/14/2021,7/28/2021,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",https://ebay.co.uk/amet/cursus/id.js
32,foundcealer 2-in-1 foundation and concealer Broad Spectrum SPF 15 Sunscreen,CodeChef,6/15/2021,6/29/2021,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",http://storify.com/consectetuer/adipiscing/elit/proin/risus/praesent/lectus.jpg
33,Maximum Strength Menstrual Relief,Kaggle,3/15/2021,3/29/2021,Praesent id massa id nisl venenatis lacinia.,http://gravatar.com/dapibus/at/diam.js
34,Sulfamethoxazole and Trimethoprim,Leetcode,5/20/2021,6/3/2021,Morbi a ipsum. Integer a nibh. In quis justo.,https://yellowbook.com/orci/luctus.jpg
35,Simvastatin,HackerRank,6/9/2021,6/23/2021,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",http://yahoo.com/dolor/quis.html
36,Topcare Ibuprofen,CodeChef,6/9/2022,6/23/2022,Phasellus id sapien in sapien iaculis congue.,http://godaddy.com/erat/tortor/sollicitudin/mi/sit/amet/lobortis.png
37,TIAGABINE HYDROCHLORIDE,Leetcode,4/9/2021,4/23/2021,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",http://infoseek.co.jp/donec/posuere/metus/vitae/ipsum.json
38,LiquiTears,HackerRank,12/7/2021,12/21/2021,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,https://sitemeter.com/faucibus/orci/luctus/et/ultrices/posuere.json
39,"Food - Plant Source, Peanut Arachis hypogaea",HackerRank,9/6/2021,9/20/2021,Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,http://ow.ly/donec/dapibus/duis.js
40,Treatment Set TS128870,CodeChef,3/12/2022,3/26/2022,Donec ut mauris eget massa tempor convallis.,https://nationalgeographic.com/duis.jpg
41,Hydroxyzine Hydrochloride,HackerRank,12/10/2021,12/24/2021,Vestibulum ac est lacinia nisi venenatis tristique.,https://narod.ru/lacus/curabitur/at/ipsum.jsp
42,Lymph Detox Plus,HackerRank,5/13/2022,5/27/2022,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",https://amazon.co.uk/consequat/varius/integer.html
43,Tea Tree Antiseptic,Leetcode,5/12/2021,5/26/2021,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",https://eventbrite.com/nisl/duis/bibendum.aspx
44,Lysol,CodeChef,8/8/2021,8/22/2021,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,https://blogspot.com/sapien.js
45,Utah Juniper,CodeForces,4/29/2021,5/13/2021,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",https://bbb.org/nisi/at.json
46,BUPROPION HYDROCHLORIDE,CodeChef,4/6/2021,4/20/2021,Pellentesque ultrices mattis odio.,http://dailymail.co.uk/elementum.js
47,KleerSight,Leetcode,8/13/2021,8/27/2021,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,https://amazonaws.com/feugiat/et.jsp
48,Eye Wash,Leetcode,7/21/2021,8/4/2021,Fusce consequat. Nulla nisl.,https://google.nl/mauris/laoreet/ut/rhoncus/aliquet/pulvinar.png
49,Doxycycline Monohydrate,CodeChef,3/5/2022,3/19/2022,Aliquam erat volutpat.,http://aol.com/dapibus/dolor/vel.html
50,good neighbor pharmacy anti nausea,Leetcode,4/28/2021,5/12/2021,Ut tellus.,https://dmoz.org/molestie.aspx
51,TOY CLEANER MIST,CodeForces,8/2/2021,8/16/2021,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",http://ow.ly/eu/orci/mauris/lacinia.html
52,Cephalexin,CodeForces,1/8/2022,1/22/2022,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",http://joomla.org/pretium.xml
53,CLE DE PEAU BEAUTE SILKY FOUNDATION I,CodeForces,8/25/2021,9/8/2021,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",http://blogs.com/in/consequat/ut.xml
54,Tears Naturale II Polyquad,CodeChef,7/2/2021,7/16/2021,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,https://mozilla.com/sapien/urna/pretium/nisl.xml
55,CLADOSPORIUM CLADOSPORIOIDES,Leetcode,4/18/2021,5/2/2021,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",https://ucsd.edu/nullam.jpg
56,Russian Olive,Leetcode,9/26/2021,10/10/2021,Phasellus in felis. Donec semper sapien a libero.,https://wikia.com/tempus/vivamus/in/felis/eu.jsp
57,TOPIRAMATE,CodeChef,5/17/2021,5/31/2021,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",https://cpanel.net/ultrices/vel/augue/vestibulum.jpg
58,ESIKA,Kaggle,5/15/2022,5/29/2022,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,https://china.com.cn/sed/tristique.js
59,OPIUM,HackerRank,3/6/2021,3/20/2021,Ut at dolor quis odio consequat varius.,http://prnewswire.com/orci/pede.html
60,Nitrogen,Leetcode,3/15/2021,3/29/2021,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",http://gnu.org/eget.xml
61,Neutrogena,HackerRank,7/11/2021,7/25/2021,Aenean auctor gravida sem.,https://ehow.com/congue.html
62,Phenytoin Sodium,Kaggle,12/4/2021,12/18/2021,Curabitur at ipsum ac tellus semper interdum.,http://geocities.jp/odio/odio.png
63,Oxygen,CodeChef,4/7/2022,4/21/2022,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",http://issuu.com/sagittis.aspx
64,SYNTHROID,HackerRank,7/22/2021,8/5/2021,Suspendisse potenti.,http://google.es/justo.xml
65,EXCEDRIN,Leetcode,4/17/2022,5/1/2022,Morbi non lectus.,https://dot.gov/vitae/nisl/aenean/lectus/pellentesque/eget/nunc.js
66,Hydroxyzine Pamoate,Kaggle,4/21/2022,5/5/2022,In sagittis dui vel nisl.,https://networkadvertising.org/luctus/et/ultrices/posuere/cubilia/curae/nulla.html
67,Promethazine Hydrochloride,CodeForces,3/20/2021,4/3/2021,Donec posuere metus vitae ipsum. Aliquam non mauris.,https://springer.com/nascetur.png
68,Irbesartan,CodeForces,7/24/2021,8/7/2021,Aenean fermentum.,https://hud.gov/sapien/placerat/ante/nulla/justo/aliquam.aspx
69,Sunflower Seed,HackerRank,5/18/2022,6/1/2022,Donec vitae nisi.,http://msn.com/justo/aliquam.jpg
70,Acetaminophen,CodeChef,9/10/2021,9/24/2021,Praesent id massa id nisl venenatis lacinia.,http://google.ru/et/ultrices/posuere/cubilia.xml
71,RINKEL MOLD MIX A,CodeForces,7/25/2021,8/8/2021,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",http://alibaba.com/fermentum.html
72,PredniSONE,HackerRank,3/7/2021,3/21/2021,Praesent id massa id nisl venenatis lacinia.,http://51.la/turpis/adipiscing/lorem/vitae.xml
73,CD HydraLife BB Eye Creme Enhancing Sunscreen Eye Illuminator Luminous Beige Broad Spectrum SPF 20,CodeForces,6/18/2021,7/2/2021,Aenean auctor gravida sem.,https://mlb.com/nulla/neque/libero/convallis/eget/eleifend.jsp
74,Salsolinol,Leetcode,3/25/2022,4/8/2022,Nullam porttitor lacus at turpis.,https://phoca.cz/vulputate/ut/ultrices/vel/augue.html
75,Tinnitus Control,Kaggle,11/22/2021,12/6/2021,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",https://addthis.com/feugiat.html
76,DERMOPLUS MEDICATED,Kaggle,5/27/2022,6/10/2022,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",https://ucla.edu/hac.png
77,OMNISCAN,CodeChef,5/12/2022,5/26/2022,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",https://businessweek.com/ligula/vehicula.xml
78,Albuterol Sulfate,Kaggle,4/11/2021,4/25/2021,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,https://t-online.de/metus/arcu/adipiscing/molestie/hendrerit.jpg
79,sunmark,Leetcode,11/6/2021,11/20/2021,Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.,http://tuttocitta.it/nulla/dapibus/dolor/vel/est/donec.png
80,Granisetron Hydrochloride,CodeForces,1/2/2022,1/16/2022,Aliquam erat volutpat. In congue. Etiam justo.,https://behance.net/ultrices/aliquet/maecenas/leo/odio.xml
81,night time,Kaggle,7/7/2021,7/21/2021,Duis consequat dui nec nisi volutpat eleifend.,http://yelp.com/quam/nec/dui/luctus/rutrum.js
82,Throar Dr.,Leetcode,2/17/2022,3/3/2022,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,http://github.com/felis/sed/interdum/venenatis/turpis/enim/blandit.jsp
83,METFORMIN HYDROCHLORIDE,HackerRank,9/22/2021,10/6/2021,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",https://wufoo.com/porta/volutpat/erat/quisque.html
84,REPARA,HackerRank,6/13/2021,6/27/2021,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,https://webs.com/sit/amet/consectetuer/adipiscing.jpg
85,Isosorbide Mononitrate,CodeChef,11/16/2021,11/30/2021,Aliquam erat volutpat.,http://oracle.com/nulla/nunc/purus/phasellus/in/felis.jsp
86,Remodulin,HackerRank,6/15/2021,6/29/2021,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,https://examiner.com/posuere.jpg
87,Meijer Sport SPF 50,Kaggle,3/24/2022,4/7/2022,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,https://nydailynews.com/vivamus/tortor/duis/mattis/egestas/metus.jpg
88,Tiger Balm Red,Leetcode,4/10/2021,4/24/2021,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,https://deviantart.com/amet/nunc/viverra/dapibus/nulla.jpg
89,Scar Remover,CodeForces,7/27/2021,8/10/2021,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",https://barnesandnoble.com/eget.jpg
90,triamcinolone acetonide,Kaggle,11/13/2021,11/27/2021,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,http://businesswire.com/dui/vel.jsp
91,Alprazolam,Leetcode,9/7/2021,9/21/2021,"Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",http://soup.io/in/porttitor/pede/justo/eu.html
92,Dexamethasone,CodeChef,6/1/2022,6/15/2022,Nulla facilisi.,https://weebly.com/elementum/ligula/vehicula/consequat/morbi/a.html
93,ATOPALM CLOTRIMAZOLE ANTIFUNGAL,CodeForces,6/17/2021,7/1/2021,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",https://alibaba.com/ligula/sit.jsp
94,Amoxicillin,HackerRank,5/18/2022,6/1/2022,Nulla nisl. Nunc nisl.,http://hc360.com/at/lorem/integer/tincidunt/ante/vel.json
95,Doxepin Hydrochloride,Kaggle,4/10/2022,4/24/2022,Aenean sit amet justo. Morbi ut odio.,https://sbwire.com/eleifend/pede/libero/quis/orci/nullam.xml
96,Fosinopril Sodium,Leetcode,8/4/2021,8/18/2021,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",http://cbsnews.com/ut/ultrices/vel.jsp
97,LANOXIN,HackerRank,4/13/2021,4/27/2021,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,http://furl.net/suspendisse/potenti/cras/in.jsp
98,Fluoxetine,Kaggle,2/17/2022,3/3/2022,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,https://paginegialle.it/eu/mi.html
99,Fentanyl buccal,Kaggle,4/15/2022,4/29/2022,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,https://nyu.edu/molestie/lorem.html
100,Cold and Flu Nighttime D,CodeForces,9/10/2021,9/24/2021,Etiam faucibus cursus urna. Ut tellus.,https://wsj.com/amet/cursus/id/turpis.jpg
