user_id,subscribed_platform
44,Leetcode
21,Leetcode
72,CodeForces
58,CodeChef
82,Kaggle
34,Kaggle
6,Kaggle
69,Leetcode
19,Kaggle
6,HackerRank
6,CodeForces
20,CodeChef
42,Kaggle
43,CodeChef
17,CodeForces
31,CodeForces
30,HackerRank
74,CodeForces
41,CodeChef
1,Kaggle
46,HackerRank
42,Leetcode
42,HackerRank
67,CodeChef
22,CodeChef
4,CodeChef
12,CodeForces
83,CodeForces
3,HackerRank
11,HackerRank
22,Leetcode
41,Leetcode
79,Leetcode
53,Kaggle
37,HackerRank
26,HackerRank
58,Kaggle
28,CodeForces
71,Leetcode
93,CodeChef
69,HackerRank
55,Leetcode
32,HackerRank
81,Kaggle
62,CodeForces
98,HackerRank
75,CodeForces
95,Kaggle
82,Leetcode
33,Kaggle
79,HackerRank
16,HackerRank
84,Kaggle
3,CodeChef
63,Leetcode
21,CodeForces
73,CodeChef
52,CodeChef
93,HackerRank
2,CodeChef
90,Kaggle
95,HackerRank
41,CodeChef
71,Leetcode
28,CodeChef
58,CodeForces
77,Leetcode
4,CodeForces
94,Leetcode
98,CodeForces
74,Kaggle
84,HackerRank
40,CodeForces
98,HackerRank
97,CodeChef
24,Kaggle
34,Leetcode
69,Leetcode
78,Kaggle
87,Kaggle
80,CodeChef
54,HackerRank
76,Leetcode
24,HackerRank
38,CodeChef
74,CodeChef
91,Kaggle
4,CodeForces
66,Leetcode
12,CodeForces
80,Kaggle
43,Leetcode
13,CodeChef
55,CodeForces
27,HackerRank
37,CodeChef
64,Kaggle
30,Leetcode
41,Kaggle
10,CodeForces
82,CodeForces
61,CodeChef
5,HackerRank
45,Kaggle
93,HackerRank
15,CodeForces
39,CodeChef
38,CodeChef
6,Kaggle
96,Leetcode
52,CodeForces
92,Leetcode
25,HackerRank
33,Leetcode
70,HackerRank
10,Kaggle
96,CodeForces
23,Kaggle
63,Kaggle
100,CodeForces
54,CodeChef
88,HackerRank
43,CodeForces
50,Leetcode
55,HackerRank
92,Kaggle
13,Kaggle
6,HackerRank
25,HackerRank
45,CodeForces
19,CodeForces
98,Leetcode
30,Leetcode
57,CodeChef
4,CodeChef
88,Kaggle
86,HackerRank
75,HackerRank
51,Leetcode
87,HackerRank
67,HackerRank
31,CodeChef
64,CodeChef
32,HackerRank
54,HackerRank
91,CodeChef
24,CodeChef
82,CodeChef
9,Kaggle
78,HackerRank
19,CodeForces
21,HackerRank
93,HackerRank
49,Kaggle
44,CodeForces
51,HackerRank
73,Leetcode
86,Leetcode
12,Kaggle
99,HackerRank
89,CodeForces
31,Kaggle
54,HackerRank
5,CodeChef
84,Kaggle
95,Leetcode
18,Leetcode
2,Kaggle
86,HackerRank
4,CodeChef
74,HackerRank
27,Kaggle
91,Leetcode
29,Kaggle
9,CodeChef
85,Leetcode
42,HackerRank
83,CodeChef
84,Leetcode
32,Leetcode
75,Kaggle
39,Kaggle
16,CodeForces
16,Kaggle
20,Leetcode
48,CodeChef
60,Kaggle
87,Leetcode
49,Kaggle
73,Leetcode
74,CodeForces
39,CodeForces
78,Kaggle
100,CodeChef
36,Leetcode
52,Leetcode
1,Kaggle
47,HackerRank
6,CodeChef
77,CodeForces
26,CodeChef
71,Leetcode
99,CodeForces
89,HackerRank
19,CodeChef
8,HackerRank
58,HackerRank
50,Leetcode
9,Leetcode
11,Leetcode
74,CodeChef
97,CodeForces
13,Kaggle
33,CodeForces
83,Leetcode
10,HackerRank
42,CodeForces
61,CodeForces
46,HackerRank
12,HackerRank
14,Leetcode
27,HackerRank
74,CodeChef
36,HackerRank
97,CodeForces
79,CodeForces
40,Leetcode
41,CodeChef
73,HackerRank
54,HackerRank
24,Kaggle
70,CodeChef
92,Kaggle
24,Leetcode
60,HackerRank
80,HackerRank
14,CodeForces
18,CodeForces
49,CodeChef
25,CodeChef
23,HackerRank
43,HackerRank
98,CodeChef
10,CodeChef
27,HackerRank
14,Leetcode
11,CodeForces
22,Leetcode
84,HackerRank
4,Kaggle
95,Leetcode
28,CodeForces
21,HackerRank
54,CodeForces
23,CodeForces
66,CodeChef
25,CodeChef
86,Leetcode
9,CodeForces
77,Kaggle
31,Leetcode
1,CodeForces
2,CodeForces
85,CodeForces
28,HackerRank
26,Leetcode
5,CodeForces
24,CodeChef
77,CodeForces
68,Leetcode
20,Kaggle
61,CodeForces
83,HackerRank
99,HackerRank
30,Kaggle
97,Kaggle
41,Leetcode
15,Kaggle
80,CodeChef
63,Leetcode
63,CodeForces
42,Leetcode
89,CodeChef
93,HackerRank
81,Kaggle
100,CodeChef
12,HackerRank
70,Leetcode
98,Kaggle
76,Leetcode
100,HackerRank
59,HackerRank
34,Kaggle
19,Leetcode
52,CodeForces
41,HackerRank
67,CodeChef
45,Kaggle
8,CodeChef
1,HackerRank
86,Kaggle
89,Leetcode
62,HackerRank
94,Leetcode
42,CodeForces
91,HackerRank
81,CodeForces
39,Leetcode
98,CodeChef
65,Kaggle
33,Leetcode
98,CodeForces
63,Leetcode
43,CodeChef
31,CodeForces
89,Kaggle
71,Kaggle
51,Leetcode
74,Kaggle
67,CodeForces
79,CodeChef
45,Leetcode
10,Kaggle
70,CodeChef
80,Leetcode
82,CodeForces
65,CodeChef
40,CodeForces
48,HackerRank
96,CodeChef
57,Kaggle
25,Kaggle
59,Kaggle
78,Kaggle
49,Kaggle
13,CodeForces
90,Leetcode
72,Kaggle
60,Kaggle
76,CodeChef
87,Kaggle
79,Leetcode
53,CodeForces
55,Kaggle
51,Leetcode
32,HackerRank
60,Leetcode
4,HackerRank
32,Kaggle
91,HackerRank
32,CodeForces
66,HackerRank
7,CodeChef
21,HackerRank
21,CodeForces
39,CodeForces
93,HackerRank
84,CodeForces
74,HackerRank
51,HackerRank
93,CodeForces
27,CodeChef
7,HackerRank
41,HackerRank
35,Kaggle
76,Leetcode
49,Kaggle
90,Kaggle
70,CodeChef
70,CodeChef
88,CodeForces
85,CodeForces
47,CodeForces
10,Kaggle
80,CodeChef
42,CodeForces
23,Leetcode
81,Kaggle
13,HackerRank
51,HackerRank
61,CodeChef
64,Leetcode
54,Kaggle
71,HackerRank
57,Leetcode
62,Kaggle
34,CodeChef
6,HackerRank
66,HackerRank
33,Leetcode
74,HackerRank
28,HackerRank
98,HackerRank
59,HackerRank
84,CodeChef
9,Leetcode
60,Kaggle
87,CodeChef
76,Kaggle
57,Kaggle
79,CodeChef
12,Leetcode
22,CodeChef
55,CodeForces
36,Kaggle
88,CodeChef
82,CodeForces
48,CodeChef
81,HackerRank
55,Leetcode
68,CodeChef
70,CodeChef
2,CodeChef
22,Kaggle
64,CodeForces
59,HackerRank
5,Kaggle
18,Leetcode
33,Leetcode
52,Leetcode
52,Kaggle
55,Kaggle
13,CodeChef
49,CodeChef
97,CodeChef
13,HackerRank
50,HackerRank
25,HackerRank
93,Kaggle
91,CodeChef
100,CodeForces
80,CodeChef
28,HackerRank
8,HackerRank
45,CodeForces
84,CodeForces
100,CodeForces
54,CodeChef
57,Leetcode
99,Kaggle
80,HackerRank
72,Leetcode
78,CodeForces
52,CodeChef
68,Leetcode
33,CodeForces
63,Leetcode
89,HackerRank
30,Leetcode
92,Leetcode
17,HackerRank
44,Kaggle
36,Kaggle
86,CodeChef
41,CodeForces
83,HackerRank
66,Kaggle
72,Leetcode
66,CodeChef
39,Kaggle
97,Leetcode
96,CodeChef
4,Kaggle
77,Kaggle
59,Kaggle
87,Leetcode
51,CodeForces
22,Leetcode
93,Kaggle
27,HackerRank
51,Kaggle
54,CodeChef
5,HackerRank
8,CodeChef
26,CodeChef
56,Leetcode
89,Kaggle
69,Kaggle
92,Leetcode
40,HackerRank
53,Leetcode
97,Kaggle
61,Kaggle
32,Leetcode
82,Kaggle
56,Leetcode
87,CodeForces
16,HackerRank
84,HackerRank
41,Leetcode
20,Kaggle
59,HackerRank
9,CodeChef
76,Leetcode
95,CodeForces
40,CodeChef
13,Kaggle
92,CodeChef
55,CodeForces
85,Leetcode
90,CodeChef
44,CodeForces
30,CodeForces
42,HackerRank
10,HackerRank
30,HackerRank
12,CodeForces
49,CodeChef
28,CodeForces
48,Kaggle
46,HackerRank
51,Leetcode
29,CodeForces
84,Kaggle
4,Leetcode
84,Leetcode
54,CodeForces
70,Kaggle
26,Kaggle
9,HackerRank
85,HackerRank
28,CodeChef
36,HackerRank
37,Leetcode
63,HackerRank
2,CodeForces
6,HackerRank
18,Leetcode
95,Leetcode
43,Leetcode
56,CodeForces
40,CodeChef
74,CodeForces
12,CodeChef
34,CodeChef
50,CodeForces
57,Leetcode
53,Kaggle
89,HackerRank
89,Kaggle
85,Kaggle
44,CodeChef
31,HackerRank
17,Kaggle
76,CodeChef
26,CodeForces
3,CodeForces
30,HackerRank
2,HackerRank
73,CodeChef
35,Kaggle
69,Leetcode
19,CodeChef
37,CodeForces
67,Leetcode
6,CodeChef
66,CodeForces
3,HackerRank
5,Leetcode
89,Leetcode
13,CodeChef
95,CodeChef
27,Leetcode
53,HackerRank
97,HackerRank
42,HackerRank
22,CodeForces
52,HackerRank
43,HackerRank
29,Kaggle
44,Leetcode
18,Kaggle
32,Kaggle
87,Kaggle
91,CodeForces
1,Leetcode
92,CodeForces
34,CodeForces
98,Leetcode
36,CodeForces
11,HackerRank
95,Leetcode
72,CodeForces
89,HackerRank
93,Kaggle
27,CodeForces
91,CodeChef
63,Kaggle
57,Kaggle
53,Kaggle
5,HackerRank
35,Leetcode
35,Kaggle
5,Kaggle
33,CodeChef
97,CodeForces
20,CodeForces
54,Kaggle
35,Kaggle
99,Kaggle
64,CodeForces
48,HackerRank
59,Kaggle
83,CodeForces
11,CodeForces
24,CodeForces
20,CodeForces
38,CodeForces
85,CodeChef
45,Kaggle
70,CodeChef
82,Kaggle
73,CodeForces
96,CodeChef
47,CodeChef
36,Leetcode
4,Kaggle
7,CodeChef
76,CodeChef
29,HackerRank
3,HackerRank
80,CodeChef
35,Leetcode
78,CodeForces
58,CodeForces
39,Kaggle
54,CodeForces
56,Kaggle
62,CodeForces
99,Kaggle
28,CodeForces
39,Leetcode
90,CodeChef
100,CodeChef
22,CodeForces
27,CodeForces
77,CodeForces
69,Leetcode
35,CodeChef
75,CodeChef
90,CodeForces
75,HackerRank
47,Leetcode
5,CodeForces
19,HackerRank
26,CodeChef
70,HackerRank
13,Leetcode
100,CodeChef
85,Leetcode
100,HackerRank
21,CodeForces
56,CodeForces
73,Kaggle
83,HackerRank
100,CodeForces
17,HackerRank
67,Kaggle
60,Kaggle
72,HackerRank
32,Leetcode
96,Kaggle
12,Kaggle
70,HackerRank
60,HackerRank
71,HackerRank
51,HackerRank
99,CodeChef
69,CodeChef
85,CodeChef
73,CodeForces
67,Kaggle
82,HackerRank
28,HackerRank
9,CodeChef
12,Leetcode
37,HackerRank
4,CodeChef
30,CodeChef
51,CodeChef
20,Kaggle
67,Kaggle
28,Kaggle
6,CodeForces
50,HackerRank
54,Kaggle
50,HackerRank
79,Leetcode
35,CodeForces
36,HackerRank
72,Kaggle
48,CodeForces
33,CodeForces
17,HackerRank
56,Kaggle
82,CodeForces
10,Leetcode
86,CodeChef
41,Kaggle
83,CodeChef
25,Leetcode
93,Kaggle
97,Kaggle
10,Kaggle
82,Kaggle
60,Kaggle
59,CodeForces
47,CodeChef
19,Leetcode
59,CodeChef
13,HackerRank
52,Kaggle
9,Leetcode
31,CodeChef
34,CodeForces
10,Kaggle
51,Kaggle
64,CodeChef
16,Kaggle
73,CodeChef
47,CodeForces
